Year,AveragePrice,pct_change
1995,56876.83285341512,
1996,57669.78418543767,1.3941552161776727
1997,63190.26653518789,9.572573276846441
1998,69454.01823818081,9.912526163352876
1999,75553.68115083776,8.782303842722516
2000,88342.68630793324,16.927044403783718
2001,98690.6959280504,11.713487615768713
2002,116527.63008628647,18.07357217466572
2003,139084.88590745578,19.35786028126214
2004,154086.35345492073,10.78583589409321
2005,164595.4977965578,6.820295312337055
2006,175684.77207587095,6.737288946396114
2007,194099.30211110253,10.481574366205804
2008,189679.63856910926,-2.2770115574467398
2009,170751.43999149642,-9.979035557217387
2010,182463.22766080959,6.858968609515936
2011,180920.43803185274,-0.8455345489255639
2012,182974.6977767201,1.1354492434435093
2013,188199.47613673794,2.8554649487075645
2014,204663.56985522763,8.74821442463929
2015,219077.7132910887,7.042847657771811
2016,235668.23209330367,7.572892081528693
2017,245929.27138836498,4.3540188696280735
2018,251895.25325929138,2.4258933624477175
2019,252696.51699090263,0.31809401774889334
2020,258260.3368712589,2.201779409787674
2021,278071.7014989054,7.671082934241769
2022,305704.6127085075,9.937333090944133
